avg_brightness,contrast,sharpness,category,probability,timestamp
0.553854763507843,0.30917322635650635,0.09375,hotdog,0.8407841920852661,2025-01-18T18:36:13.513735+00:00
0.47117921710014343,0.20947685837745667,0.06320926547050476,hotdog,0.8516533672809601,2025-01-18T18:39:05.226747+00:00
0.4121001660823822,0.25969332456588745,0.0469558909535408,hotdog,0.8316013962030411,2025-01-18T18:39:12.256390+00:00
0.481762558221817,0.24434857070446014,0.06194600835442543,hotdog,0.6847186088562012,2025-01-18T18:39:18.389395+00:00
0.29348108172416687,0.25542303919792175,0.04515443369746208,hotdog,0.7917831689119339,2025-01-18T18:39:23.579509+00:00
0.34656795859336853,0.24992619454860687,0.04202982038259506,hotdog,0.7132694125175476,2025-01-18T18:39:30.394754+00:00
0.3526490032672882,0.2970748543739319,0.08487454801797867,hotdog,0.6069329977035522,2025-01-18T18:39:39.093591+00:00
0.6057819724082947,0.22752982378005981,0.06399369239807129,hotdog,0.8491034507751465,2025-01-18T18:39:44.066729+00:00
0.41920003294944763,0.2554698586463928,0.05819125473499298,hotdog,0.8591808676719666,2025-01-18T18:39:49.616162+00:00
0.40482914447784424,0.22840262949466705,0.08081869035959244,hotdog,0.6254912614822388,2025-01-18T18:39:55.144892+00:00
0.5506294369697571,0.3201376795768738,0.0801905021071434,hotdog,0.900273434817791,2025-01-18T18:39:59.390267+00:00
0.47827795147895813,0.18720418214797974,0.05964404344558716,hotdog,0.8378122895956039,2025-01-18T18:40:04.928837+00:00
0.418874055147171,0.28529220819473267,0.04230847209692001,hotdog,0.839332178235054,2025-01-18T18:40:08.900370+00:00
0.35892900824546814,0.19873806834220886,0.06074490025639534,hotdog,0.6081183552742004,2025-01-18T18:40:14.870043+00:00
0.3133186101913452,0.18441785871982574,0.03995014354586601,hotdog,0.6839632093906403,2025-01-18T18:40:19.177031+00:00
0.47622063755989075,0.24792663753032684,0.07201547920703888,hotdog,0.7803711891174316,2025-01-18T18:40:24.641083+00:00
0.4222620725631714,0.3492979407310486,0.08075057715177536,hotdog,0.869416743516922,2025-01-18T18:40:29.986071+00:00
0.5002334713935852,0.210808664560318,0.062316298484802246,hotdog,0.7942641079425812,2025-01-18T18:40:34.555239+00:00
0.45567700266838074,0.2181352972984314,0.04618076980113983,hotdog,0.7631023079156876,2025-01-18T18:40:39.947439+00:00
0.6605777740478516,0.25993385910987854,0.05548405647277832,hotdog,0.8182011842727661,2025-01-18T18:40:46.996782+00:00
0.4753142297267914,0.21913106739521027,0.0501164048910141,hotdog,0.7002322673797607,2025-01-18T18:40:55.006540+00:00
0.4488476812839508,0.33042293787002563,0.06784901767969131,not hotdog,0.005871772766113281,2025-01-18T18:41:03.296139+00:00
0.49277862906455994,0.22874194383621216,0.05280514061450958,hotdog,0.8053060472011566,2025-01-18T18:41:10.028930+00:00
0.4312863051891327,0.2913859188556671,0.09971420466899872,hotdog,0.7377243638038635,2025-01-18T18:41:15.653480+00:00
0.4842109680175781,0.26276612281799316,0.0648459792137146,hotdog,0.818441167473793,2025-01-18T18:41:20.154714+00:00
0.3833228051662445,0.24493084847927094,0.053106069564819336,hotdog,0.6149406135082245,2025-01-18T18:41:24.991892+00:00
0.6537572741508484,0.27428755164146423,0.05628238618373871,hotdog,0.8681782931089401,2025-01-18T18:41:30.946970+00:00
0.44074079394340515,0.2201828509569168,0.05424414575099945,hotdog,0.9098392799496651,2025-01-18T18:42:20.687222+00:00
0.5813290476799011,0.3878956139087677,0.043185219168663025,hotdog,0.8970616832375526,2025-01-18T18:42:28.657259+00:00
0.32001134753227234,0.31115642189979553,0.07545217871665955,hotdog,0.8425606489181519,2025-01-18T18:42:34.237940+00:00
0.44816768169403076,0.21033424139022827,0.04107122868299484,hotdog,0.7942159473896027,2025-01-18T21:40:00.738306+00:00
0.5173138976097107,0.24975445866584778,0.0584951788187027,hotdog,0.8878550678491592,2025-01-19T00:00:55.832143+00:00
0.5813290476799011,0.3878956139087677,0.043185219168663025,hotdog,0.8970616832375526,2025-01-19T00:01:36.924816+00:00
0.553854763507843,0.30917322635650635,0.09375,hotdog,0.8407841920852661,2025-01-19T17:05:55.334100+00:00
0.5088170170783997,0.20168782770633698,0.05297835171222687,hotdog,0.849383607506752,2025-01-19T17:05:55.615017+00:00
